aah	[INTERJECTION] surprise, pleasure
age	years
age	[science, second]
aged	very old
aged	[science, second]
ageing	becoming old
ageing	getting old
ageless	never getting old
ageless	[science]
agelong	going on for a long time
agelong	[science]
agency	business house
agency	instrument
agency	[business]
agenda	list of things for discussion
agent	representative
agent	[business, second]
agents	representatives
agents	[business, second]
ages	a long time
ages	[science, second]
agglomerate	get together loosely
aggrandize	make more important
aggravate	make more bad
aggravation	thing causing anger
aggregate	mass
aggregate	forming a group
aggression	attack without cause
aggressive	warlike
aggressor	one making attack without cause
aggrieved	wounded in feelings
aghast	in surprise and fear
agile	quick-moving
aging	getting old
aging	[science, second]
agitate	put in motion
agitated	put in motion
agitation	troubled condition
agitator	one making trouble
agley	with quick motions
ago	before
ago	[second]
agonies	pains
agonize	give great pain
agonize	 have great pain
agonized	gave great pain
agonized	had great pain
agonizes	has great pain
agonizing	giving great pain
agonizing	having great pain
agony	great pain
agrarian	with farm-land
agree	be in agreement
agreeable	pleasing
agreed	in agreement
agreeing	being in agreement
agreement	agreement
agreements	agreements
agrees	is in agreement
agricultural	farming
agriculture	farming
aground	fixed on edge of water
ahead	in front
aid	help
aide	secretary
aide-de-camp	military secretary
aided	helped
aiding	helping
aids	helps
aids	AIDS
ail	be ill
ailing	being ill
ailment	disease
aim	direction
aim	purpose
aimed	directed
aimed	with purpose of
aiming	pointing
aims	purposes
air	air
airbag	airbag
airbags	airbags
aircrew	airmen
aircraft	airplanes
aircushion	air-cushion
aircushioned	air-cushioned
aircushioning	air-cushioning
airfield	airfield
airfield	aircraft landing field
airflow	moving air
airfoil	airplane wing
airframe	frame of an airplane
airfreight	transport of goods by airplane
airhead	foolish person	
airily	not seriously
airless	without good air
airline	air-transport company
airliner	large airplane to transport persons
airmail	airmail
airman	airman
airmen	airmen
airplane	airplane
airplanes	airplanes
airport	airplane station
airports	airplane stations
air raid	suprpise attack by airplane	
airs	airs
airspace	place to fly an airplane
airstrike	attack by aircraft
airstrip	aircraft landing field
airtight	not letting air in
airtight	giving no opening for attack
airtime	time of radio/TV program
airwaves	sending radio/TV waves
airworthy	safe to fly
airy	open to air
aisle	way between seats
ajar	a little open
akin	having a family relation
alabama	Alabama
alabaster	sort of white stone used for ornaments
alacrity	being ready to do a thing
alarm	fear
alarm	danger sign
alarmed	caused fear
alarming	causing fear
alarms	put in fear
alarms	danger signs
alas	cry of trouble
albania	Albania
albatross	great white sea-bird
albatross	weight
albeit	though
albeit	tho
albino	without natural color
album	book of pictures
albumen	white of egg
albums	books of pictures
alchemy	early chemistry
alcohol	alcohol
alcohol's	alcohol's
alcoholic	having alcohol
alcoholic	person who drinks much
alcoholics	persons who drink to much
alcohols	alcohols
alcove	addition to room
alderman	one of governing body
ale	beer
alert	ready
ales	beers
alfalfa	plant for animal food
alfalfa	[first]
algebra	algebra
algebraic	by algebra
algebraically	with algebra
algeria	Algeria
algorithm	systems for working out answers
algorithms	system for working out answers
alias	with another name
aliases	with other names
alibi	being in another place
alibis	stories of being in another place
alien	person of a different nation
alien	strange
aliens	persons of a different nation
aliens	strangers
alight	get off
alight	burning
align	get into line
align	put in order
aligned	got into line
aligning	getting into line
alignment	into line
aligns	gets into line
alike	the same
aliment	food
alimony	supporting when no longer married
alive	living
alkali	chemical that with acid gives salt
alkalis	chemicals that with acid gives salt
all	all
allay	make less
allegation	something put forward without facts
allegations	things put forward without facts
allege	put forward as fact
alleged	said to be so
allegedly	said to be so
allegedly	doubted
alleges	says to be so
allegiance	support and respect
alleging	saying to be so
allegory	story about some other thing
alleluia	words of being happy
alleluia	Hallelujah
allergic	have body reaction
allergy	body reaction
alleviate	make less troubling
alley	side-street
alleys	side-streets
alliance	agreement
allied	joined by agreement
allies	nations joined against Axis
allies	joined in work
allies	Allies
alliterate	make use of words with same letter
allocate	put on one side
allocated	put on one side
allocates	puts on one side
allocating	putting on one side
allocation	a thing or amount put to one side
allocations	things or amounts put to one side
allot	give
allotment	distribution
allotments	distributions
allotrope	any of two or more forms of a chemical
allotropic	having two or more forms of a chemical
allotropy	existence of two or more forms of a chemical
allots	gives
allotted	gave
allotting	giving
allover	allover
allow	let
allowable	that is let done
allowance	regular payment
allowance	not be hard in judging
allowance	[business]
allowances	regular payments
allowances	not be hard in judging
allowances	[business]
allowed	let
allowing	letting
allows	lets
alloy	mixed metal
alloy	mixed
allspice	berry of West Indian tree
allude	say something about
alluding	saying something about
allure	be pleasing to
allusion	something without details
allusive	thing without details
ally	supporter
ally	be on the same side
almanac	calendar with notes
almighty	very great
almighty	the Father of All
almond	a sort of nut
almost	almost
alms	money given to poor
aloft	high up
alone	by oneself
along	on
along	with
along	[second]
alongside	near to
alongside	touching
aloof	at a distance
aloofly	as at a distance
