aah	[INTERJECTION] surprise, pleasure
stocks	amounts
stodgy	uninteresting
stodgy	overfull of facts
stoke	put coal on
stoke	keep fire burning
stoked	put coal on
stoked	kept fire burning
stoker	man looking after fire
stokes	puts coal on
stokes	keeps fire burning
stoking	putting coal on
stoking	keeping fire burning
stole	took property (of another)
stole	went out quietly
stolen	taken (property of another)
stolid	slow moving
stolid	of slow feeling
stolid	not readily moved
stomach	stomach
stomached	stomached
stomacher	stomacher
stomachers	stomachers
stomaching	stomaching
stomachs	stomachs
stone	stone
stone's	stone's
stoned	stoned
stoner	stoner
stoners	stoners
stones	stones
stonework	stonework
stoning	stoning
stood	got on feet
stood	got up
stood	was upright
stool	seat with three legs
stool	seat without back
stool	waste material from body
stools	seats with three legs
stools	seats without backs
stools	waste materials from body
stoop	bent position
stoop	with body bent
stoop	stage at top of steps
stoop	flat place before house door
stooped	go into bent position
stooped	was with body bent
stooping	be bending down
stooping	being with body bent
stoops	goes into bent position
stoops	is with body bent
stop	stop
stoppable	stoppable
stopped	stopped
stopper	stopper
stoppered	stoppered
stoppering	stoppering
stoppers	stoppers
stopping	stopping
stopping's	stopping's
stops	stops
stops	comes to a stop
storage	storing of goods
storage	place for storing
store	store
store's	store's
stored	stored
storekeeper	storekeeper
storekeepers	storekeepers
storer	storer
storeroom	storeroom
storerooms	storerooms
stores	stores
stores	stories
storey	storey
storey	story
storey	floor
storied	storied
stories	stories
storing	storing
stork	tall waterbird
storm	bad weather
storm	troubled conditions
storm	rain and thunder
storm	outburst of feelings
storm	sudden, violent wind
storm	sudden, violent attack
storm	[second, verse]
stormed	had bad weather
stormed	rained and thundered
stormed	[second, verse]
stormer	one making violent motion
stormer	[second, verse]
stormier	with more rain and thunder
stormier	more violent motion
storming	having bad weather
storming	raining and thundering
storming	[second, verse]
storms	has bad weather
storms	rains and thunder
storms	[second, verse]
stormy	with rain and thunder
story	story
story's	story's
storybook	storybook
storybooks	storybooks
stout	fat, thick, strong
stout	not readily broken
stout	not given to fear
stout	strong, dark beer
stoutly	strongly
stoutly	not readily broken
stoutly	not given to fear
stove	heating apparatus
stove	kept off
stoves	heating apparatuses
stoves	keeps off
stow	put away
stow	put away without wasted space
stowaway	person journeying secretly without payment
stowaways	persons journeying secretly without payment
stowed	put away
stowed	put away without wasted space
stowing	putting away
stowing	putting away without wasted space
stows	puts away
stows	puts away without wasted space
straggle	go in loose order
straggle	not keep up with group
straggled	went in loose order
straggled	not kept up with group
straggler	person not keeping up with group
stragglers	persons not keeping up with group
straggles	goes in loose order
straggles	not keeps up with group
straggling	going in loose order
straggling	not keeping up with group
straight	straight
straighten	straighten
straightened	straightened
straightener	straightener
straighteners	straighteners
straightening	straightening
straighter	straighter
straightest	straightest
straightforward	straightforward
straightforwardly	straightforwardly
straightly	straightly
straights	straights
strain	get tightly stretched, be pulled at
strain	do as much as possible
strain	get twisted
strain	[second]
strained	stretched, pulled
strained	[second]
strainer	vessel with network to separate liquids
strainer	[second]
strainers	vessels with network to separate liquids
strainers	[second]
straining	stretching, pulling
straining	[second]
strains	stretches, pulls
strains	[second]
strait	narrow
strait	tight
strait	narrow waterway	
strange	strange
strangely	strangely
stranger	stranger
strangers	strangers
strangest	strangest
strangle	get grip on throat
strangle	put to death by grip wind-pipe
strangled	got grip on throat
strangled	put to death by grip wind-pipe
stranglehold	strong grip
stranglehold	keep necessary from
strangler	person putting another to death by grip on wind-pipe
stranglers	persons putting another to death by grip on wind-pipe
strangles	gets grip on throat
strangles	puts to death by grip wind-pipe
strangling	getting grip on throat
strangling	putting to death by grip wind-pipe
strangulate	keep from moving
strangulate	keep necessary from
strap	band of leather
strap	put round to keep in place
strap	get fixed with band
strap	give whipping
strapped	without money
strapped	put round to keep in place
strapped	got fixed with band
strapped	gave whipping
strapping	healthy looking
strapping	putting round to keep in place
strapping	getting fixed with band
strapping	giving whipping
straps	bands of leather
straps	puts round to keep in place
straps	gets fixed with band
straps	gives whipping
stratagem	way designed to get better of
strategic	the great picture
strategic	of getting forces in good position
strategic	of the art of war
strategic	overall
strategically	importantly
strategies	arts of war
strategies	gets forces in good position
strategies	secret designs
strategies	working out operations in war
strategist	expert in design to get better of
strategy	art of war
strategy	art of war
strategy	operations attempted
strategy	getting forces in good position
strategy	getting forces into good position
strategy	secret design
strategy	secret design
strategy	working out operations in war
straw	dry, cut stems of grain
straw	long pipe for drinking
straw	[second]
straws	dry, cut stems of grain
straws	long pipes for drinking
straws	[second]
stray	go from others
stray	animal that has gone from others
strayed	gone from the rest
straying	going from others
strays	goes from others
strays	animals that has gone from others
streak	line, band, long thin line
streak	quick
streak	get marked with long line
streak	touch of some quality
streaked	got marked with long line
streaked	be moved quickly
streaker	person who run without clothes in public
streakers	persons who run without clothes in public
streakier	with more lines
streaking	getting marked with long line
streaking	be moving quickly
streaks	lines, bands, 
streaks	long thin lines
streaks	time
streaks	touches of some quality
streaky	with lines
stream	(small) river
stream	current
stream	be moving (in one direction)
stream	stretch out (in wind, current)
stream	[second, verse]
streamed	moved as current
streamed	stretched out
streamed	[second, verse]
streamer	long, narrow bit of paper, cloth
streamer	[second, verse]
streaming	moving
streaming	[second, verse]
streamingly	as in motion
streamingly	[second, verse]
streams	small rivers, currents
streams	moves as current
streams	stretches out in current
streams	[second, verse]
street	street
street's	street's
streets	streets
strength	being strong
strength	number
strength	[science, verse]
strengthen	make stronger
strengthen	have more
strengths	good qualities
strengths	forces
strengths	[science, verse]
strenuous	needing (needing) much force
strenuous	hard (work)
stress	condition making things hard
stress	force between things touching
stress	weight, special force
stress	[science]
stressed	conditions made things hard
stressed	forced
stressed	gave special weight to
stressed	[science]
stresses	conditions making things hard
stresses	forces between things touching
stresses	gives weight, special force
stresses	[science]
stressing	conditions making things hard
stressing	forcing between things touching
stressing	giving weight, special force
stressing	[science]
stressor	thing making things hard
stressor	forcer
stressor	[science]
stretch	stretch
stretched	stretched
stretcher	stretcher
stretchers	stretchers
stretches	stretches
stretching	stretching
strew	put all over
strew	get covered thinly
strewing	putting all over
strewing	getting covered thinly
strewn	put all over
strewn	got covered thinly
strews	puts all over
strews	gets covered thinly
stricken	overcome
stricken	far gone
stricken	taken away
strict	with fixed rules
strict	limited
strictly	in a fixed way
strictly	in a limited way
stride	long step
strident	loud (voice)
strides	long steps
strides	comes in 
strife	competition, fight
strike	give blow
strike	go out from work
strike	come up against
strike	point of agreement
strike	come upon (place)
strike	seems
strike	get a light
strike	direction of a level plane
strike	[business]
striker	thing for giving a blow
striker	one gone out from work
striker	[business]
strikes	gives blow
strikes	comes upon
strikes	goes out from work
strikes	[business]
striking	giving a blow
striking	coming upon (place)
striking	going out from work
striking	[business]
strikingly	of special note
strikingly	bright
strikingly	[business]
string	cord, line
string	puts together in some order
string	[second]
stringent	hard
stringent	fixed
stringent	tight
stringently	hardly
stringently	fixedly
stringently	tightly
stringer	long support
stringer	part-time news person
stringer	rating
stringer	line keeping fish
strings	cords, lines
strings	put together in some order
strings	[second]
strip	long (thin) bit
strip	take off (covering)
stripe	(long, narrow) band, mark
striped	covered with long narrow bands
striping	long narrow bands, marks
stripped	took off (covering)
stripper	substance that take off (covering, paint)
stripping	taking off (covering)
strips	long (thin) bits
strips	takes off (covering)
strive	make an attempt
strive	do one's best
strived	made an attempt
strived	did one's best
strives	makes an attempt
strives	does one's best
striving	making an attempt
striving	doing one's best
stroke	bursting of blood vessel in brain
stroke	(give) soft rub
stroke	one of a number of moves
stroke	blow
stroked	gave soft touch
stroked	made a number of moves
strokes	(gives) soft rub
strokes	makes a number of moves
stroking	giving soft rubs
stroking	making a number of moves
stroll	short, slow walk
strolled	made short, slow walk
strolling	making short, slow walk
strolls	short, slow walks
strolls	makes short slow walk 
strong	strong
stronger	stronger
strongest	strongest
strongly	strongly
strop	leather for making blades sharp
strop	make sharp
stropped	made sharp
stropped	gave blade a pull over leather 
stropping	making sharp
stropping	giving blade a pull over leather 
strops	makes sharp
strops	gives blade a pull over leather 
strove	made an attempt
strove	did one's best
struck	given blow
struck	came upon (place)
struck	gone out from work
struck	[business]
structural	to do with structure
structure	structure
structure	[social]
structure's	structure's
structure's	[social]
structured	structured
structured	[social]
structurer	structurer
structurer	[social]
structures	structures
structures	[social]
structuring	structuring
structuring	[social]
struggle	fight
struggle	competition
struggle	attempt to get free
struggle	hard work
struggled	fought
struggled	attempted to get free
struggled	did hard work
struggles	fights
struggles	attempts to get free
struggles	does hard work
struggling	fighting
struggling	attempting to get free
struggling	doing hard work
strut	support part
strut	stiff way of walking
strut	walk with self important air
struts	support parts
struts	stiff ways of walking
struts	is walking with self important air
stubborn	not giving way
stubborn	not readily changing
stubborn	fixed of mind
stubbornly	not giving way
stubbornly	not readily changing
stubbornly	fixedly
stuck	fixed
stuck	put on with sticky paste
stud	round headed nail
stud	button head for shirt
stud	horse for producing young
studded	covered with round headed nails
studding	with round headed nail
student	learner
students	learners
studied	learned
studied	had under observation
studied	[second]
studies	learnings
studies	has under observation
studies	[second]
studio	work-room
studio	painting-room
studs	round headed nails
studs	button heads for shirts
studs	horses for producing young
study	learning
study	work room
study	have under observation
study	[second]
studying	learning
studying	having under observation
studying	[second]
stuff	substance, material, cloth
stuff	put (tightly) into, make full of
stuff	give overmuch food
stuffed	put (tightly) into, make full of
stuffed	full
stuffing	putting (tightly) into, make full of
stuffing	material used in cushion
stuffing	fowl dressing
stuffs	puts (tightly) into
stumble	falling about
stumble	come up against
stumble	come across
stumbled	falling about
stumbled	came up against
stumbled	came across
stumbles	falling about
stumbles	comes up against
stumbles	comes across
stumbling	falling about
stumbling	coming up against
stumbling	coming across
stump	broken end
stump	root stem of cut tree
stump	get no answer to hard question
stumped	talking for political office
stumped	at a loss
stumped	got no answer to hard question
stumping	be talking for political office
stumping	putting at a loss
stumping	getting no answer to hard question
stumps	broken ends
stumps	root stem of cut trees
stumps	gets no answer to hard question
stumpy	short and thick
stun	give a shock
stun	make unconscious
stung	bitten
stung	had sharp pain
stung	got money by trick
stunk	had bad smell
stunk	had public trouble
stunned	gave a shock
stunned	made unconscious
stunning	giving a shock
stunning	making unconscious
stunning	beautiful
stuns	gives a shock
stuns	makes unconscious
stunt	trick
stunt	put a stop to growth
stunt	thing done for effect
stunted	gave tricks
stunted	undeveloped
stunting	doing tricks
stunting	putting a stop to growth
stunts	tricks
stunts	puts a stop to growth
stunts	things done for effect
stupendous	very great, important
stupendously	very greatly
stupendously	importantly
stupid	foolish
stupid	not bright
stupid	slow minded
stupidity	foolish act
stupidly	foolishly
stupidly	not sharply
sturdily	strongly
sturdy	strong
stutter	talk with sudden stops
stutter	not get words out clearly
stuttered	talked with sudden stops
stuttered	not got words out clearly
stutterer	person talking with sudden stops
stutterer	persons not getting words out clearly
stutterers	talk with sudden stops
stutterers	persons not getting words out clearly
stuttering	be talking with sudden stops
stuttering	not getting words out clearly
stutters	talks with sudden stops
stutters	not get words out clearly
sty	pig house
sty	dirty room
sty	red point on skin by eye
style	quality making it out from the common
style	of good taste
style	look of a thing
styles	general looks
stylish	in harmony with latest tastes
stylist	worker giving great care
stylus	needlelike thing for making marks
sub	boat able to go under water
sub	taking the place of
sub-	less than, not quite
sub-	being a division of (some group)
sub-	under, lower than
sub-	acting for
subconscious	unconscious
subconscious	not completely conscious
subconscious	part of mind not consciously noted
subconsciously	unconsciously
subconsciously	not completely conscious
subconsciously	by part of mind not consciously noted
subdue	get control over
subdue	overcome
subdue	make less strong
subdued	got control over
subdued	overcame
subdued	made less strong
subdues	gets control over
subdues	overcomes
subdues	makes less strong
subduing	getting control over
subduing	overcoming
subduing	making less strong
subject	thing under discussion
subject	person under a ruler
subject	on condition that
subject	field of knowledge
subject	put under (authority)
subject	interest
subject	give (punishment)
subject	under authority
subject	[second]
subjected	under authority
subjected	on condition that
subjected	gave (punishment)
subjected	[second]
subjecter	one putting under authority
subjecter	[second]
subjecting	put under authority
subjecting	making do
subjecting	giving (punishment)
subjecting	[second]
subjective	having existence in mind
subjective	from inside self
subjective	colored by feelings
subjects	things under discussion
subjects	persons under a ruler
subjects	fields of knowledge
subjects	puts under (authority)
subjects	on conditions that
subjects	gives (punishment)
subjects	[second]
subjugate	get under control
subjugated	got under control
subjugates	gets under control
subjugating	getting under control
sublet	let to another
sublets	lets to another
subletting	letting to another
sublime	very beautiful
sublime	in the highest degree
sublime	moving one to great feelings
sublimely	very beautifully
submarine	under water
submarine	under-water boat
submariner	sailor on under-water boat
submariners	sailors on under-water boat
submarines	under-water boats
submerge	put under water
submerge	go under sea
submerged	put under water
submerged	went under sea
submerges	puts under water
submerges	goes under sea
submerging	putting under water
submerging	going under sea
submission	thing put forward
submissive	readily controlled
submissive	doing as ordered
submit	put forward
submit	take orders (from)
submits	puts forward
submits	takes orders (from)
submitted	put forward
submitted	took orders (from)
submitting	putting forward
submitting	taking orders (from)
subordinate	person working under another
subordinate	less important
subordinates	person working under another
subordinates	is not equally important
subordinating	putting on less important condition
subordinating	being not equally important
subordination	condition of being less important
subordination	putting in less equal condition
subprime	not the best
subroutine	part of a program
subroutines	parts of a program
subscribe	give money for purpose
subscribe	send in order 
subscribe	be in agreement with
subscribed	gave money for purpose
subscribed	sent in order
subscribed	was in agreement with
subscriber	one in agreement
subscriber	persons ordering
subscribers	persons in agreement
subscribers	persons ordering
subscribes	gives money for purpose
subscribes	sends in order
subscribes	is in agreement with
subscribing	giving money for purpose
subscribing	sending in order
subscribing	being in agreement with
subscription	listed as having made payment for
subsequent	coming after
subsequently	coming after
subset	a division of
subsets	divisions of
subsetting	making a division
subside	go down
subsidiary	addition
subsidiary	less important
subsidiary	dependent
subsidise	support
subsidise	give money to
subsidised	supported
subsidised	gave money to
subsidises	supports
subsidises	gives money to
subsidising	supporting
subsidising	giving money to
subsidize	support
subsidize	give money to
subsidized	supported
subsidized	gave money to
subsidizes	supports
subsidizes	gives money to
subsidizing	supporting
subsidizing	giving money to
subsidy	support
subsidy	money (given)
substance	substance
substances	substances
substantial	important
substantial	with substance
substantial	of value
substantially	importantly
substantially	with material substance
substantially	with value
substantiate	give facts in support of
substantiates	gives facts in support of
substantive	name of thing
substantive	exists
substantive	important
substantively	importantly
substantively	solidly
substitute	take the place of
substitute	use for another
substituted	took the place of
substituted	used for another
substitutes	takes the place of
substitutes	uses for another
substituting	taking the place of
substituting	using for another
substitution	thing used like another
substitution	[science]
substitutions	things used for another
substitutions	[science]
subterfuge	twist
subterfuge	trick
subterfuge	way of getting round an argument
subterfuge	not straightforward behavior
subterfuges	twists
subterfuges	tricks
subterfuges	ways of getting round arguments
subterfuges	not straightforward behaviors
subtitle	second name to book, play, etc.
subtitled	second name to make clear
subtle	complex, delicately balanced
subtle	hard to see clearly
subtle	having delicate taste
subtleness	in a complex, delicate way
subtleness	hard to see clearly
subtleness	having delicate taste
subtler	more delicate
subtlest	most delicate, complex
subtleties	things, ideas complex, delicate
subtlety	in a complex, delicate way
subtly	in a complex, delicate way
subtract	take away
subtract	take from
subtracted	took away
subtracted	took from
subtracting	taking away
subtracting	taking from
subtracts	takes away
subtraction	taking from
subtraction	take a number from another
subtracts	takes from
suburb	outskirts of a town
suburban	of the outskirts of a town
suburban	of little outlook
subway	way under street
subway	electric railway under earth
subways	ways under street
subways	electric railways under earth
succeed	come after, take the place of
succeed	do well, go well
succeed	get through death of earlier owner
succeeded	came after, took the place of
succeeded	did well, gone well
succeeded	got through death of earlier owner
succeeding	coming after, taking the place of
succeeding	doing well, going well
succeeding	getting through death of earlier owner
succeeds	comes after, takes the place of
succeeds	does well, goes well
succeeds	gets through death of earlier owner
success	good outcome
success	doing well
success	person, thing doing well
success	[second]
successes	good outcomes
successes	going well
successes	persons, things doing well
successes	[second]
successful	turning out well
successful	doing well
successfully	turned out well
succession	come one after another
succession	in turn	
successive	coming one after another
successive	regular
successive	[science]
successively	coming regularly
successively	[science]
successor	person, thing coming after
succor	give help
succored	gave help
succoring	giving help
succors	gives help
succumb	be overcome
succumb	give way to
succumb	go under
succumb	come to one's death
succumbed	was overcome
succumbed	gave way to
succumbed	went under
succumbed	came to one's death
succumbing	being overcome
succumbing	giving way to
succumbing	going under
succumbing	coming to one's death
succumbs	is overcome
succumbs	gives way to
succumbs	goes under
succumbs	comes to one's death
such	such
suchlike	suchlike
suck	take into mouth
suck	take out air
suck	take into mouth by pulling with lips
sucked	took into mouth
sucked	took out air
sucked	took into mouth by pulling with lips
sucker	branch not from stem
sucker	not a chief outgrowth on root or stem
sucker	part of animal to join with other
sucker	take off not main parts of a plant
sucker	foolish person readily taken by trick
sucking	taking into mouth
sucking	taking out air
sucking	taking into mouth by pulling with lips
suckle	give milk to young
suckled	took milk from mother
suckles	takes milk from mother
suckling	young animal
suckling	animal taking milk from mother
sucks	takes into mouth
sucks	takes out air
sucks	take into mouth by pulling with lips
suction	air pull
suction	taking air out
suction	force together by taking air from between
sudden	sudden
suddenly	suddenly
suds	liquid soap with air inside
suds	beer
sue	go to law
sue	make strong request
sued	gone to law
sued	made strong request
suer	one going to law
suer	PLAINTIFF
suers	persons going to law
suers	PLAINTIFFS
sues	goes to law
sues	makes strong request
suffer	have pain, trouble, loss
suffer	put up with
suffer	let go on
sufferance	letting things go on, not stopping it
sufferance	put up with but not readily
suffered	had pain, trouble
suffered	put up with
suffered	let go on
sufferer	persons having pain, trouble
sufferers	one having pain, trouble
suffering	having pain, trouble
suffering	putting up with
suffering	letting go on
suffers	have pain, troubles
suffers	puts up with
suffers	lets go on
suffice	be enough
sufficiency	enough
sufficient	enough
sufficiently	enough
suffix	letters put on end of word
suffix	put (ending) onto word
suffocate	give trouble in breathing
suffocate	put to death by stopping breathing
suffocated	put to death by stopping breathing
suffocates	has trouble in breathing
suffocates	puts to death by stopping breathing
suffocating	having trouble in breathing
suffocating	putting to death by stopping breathing
suffocation	trouble in breathing
suffocation	death by stopping breathing
suffrage	(right to) selection of representatives
suffrage	opinion
suffrage	support
sugar	sugar
sugar's	sugar's
sugared	sugared
sugaring	sugaring
sugarings	sugaring
sugars	sugars
suggest	make suggestion
suggested	made suggestion
suggester	person making suggestion
suggesters	ones making suggestion
suggesting	making suggestion
suggestion	suggestion
suggestion's	suggestion's
suggestions	suggestions
suggestive	suggestion of more
suggestive	giving food for thought
suggests	makes suggestion
suicidal	tendency to self-destruction
suicide	death by self destruction
suing	going to law
suing	making strong request
suit	man's dress
suit	be good, right for
suit	request (for woman's hand)
suit	group of cards
suit	process in law
suitability	is right for
suitable	right for
suitably	as right for
suite	rooms
suited	was good, right for
suites	rooms
suiting	being good, right for
suits	men's dress
suits	groups of cards
suits	processes in law
suits	is good, right for
sulfur	sulfur
sulfur	yellow chemical
sulfur	chemical 'S'
sulfur	[chemistry]
sulky	in bad humor, not talking
sulky	having bad feeling
sullen	bad-humored
sullen	dark, angry look
sullenly	bad-humoredly
sullenly	with dark, angry look
sullied	put black mark against
sullied	had loss of good name
sully	put black mark against
sully	loss of good name
sulphur	yellow chemical
sulphur	chemical 'S'
sulphur	[chemistry]
sultry	very warm (weather, woman)
sum	addition
sum	amount by addition
sum	short account of details
sum	[second]
summaries	short accounts
summarise	give a short account
summarised	made a short account
summarises	makes a short account
summarising	giving a short account
summarize	give a short account
summarized	made a short account
summarizes	makes a short account
summarizing	giving a short account
summary	short account
summed	made addition
summed	made short account
summed	[second]
summer	summer
summer's	summer's
summered	summered
summering	summering
summers	summers
summertime	summertime
summing	making additions
summing	making short account
summing	[second]
summit	top
summit	highest point
summitry	going to the highest authority
summits	tops
summits	highest points
summon	send for person
summon	make strong request to come
summoned	given order to come before judge
summoned	made strong request to come
summoned	sent for person
summoning	sending for person
summoning	making strong request to come
summons	order to come before judge
summons	makes strong request to come
summons	sends for person
sumptuous	on great scale
sumptuous	highly ornamented
sums	additions
sums	makes short account of details
sums	arithmetic
sums	[second]
sun	sun
sun's	sun's
sunbrown	sunbrown
sunbrowned	sunbrowned
sunbrowning	sunbrowning
sunbrowns	sunbrowns
sunburn	sunburn
sunburns	sunburns
sunday	Sunday
sundays	Sundays
sundries	different small things
sundry	different
sundry	a number of
sunflower	tall flower with seeds for food
sung	given a song
sunk	went down
sunk	hollow (of face)
sunken	downed
sunken	thin, hollow
sunlight	sunlight
sunned	sunned
sunning	sunning
sunny	full with sunlight
sunny	smiling
sunny	good humored
sunrise	sun-up
sunrise	when the sun comes up
sunroom	sunroom
sunset	sun-down
sunshade	sunshade
sunshades	sunshades
sunshine	sunlight
sunshine	good weather
suntan	sunbrown
suntans	sunbrowns
sunup
super	higher degree
super	building manager
super-	above
super-	further
super-	in addition
super-	higher sort
superb	of the best
superb	beautiful
supercede	(see supersede)
superceed	(see supersede)
supercilious	giving oneself airs
superficial	not deep
superficially	not deeply
superfluous	unnecessary
superintendent	manager
superintendent	overseer
superintendents	managers
superintendents	overseers
superior	higher
superior	placed over
superior	more than equal to, better than
superiority	being higher, greater
superlative 	higher form (degree)
supermarket	great market building
supernatural	(forces) outside the natural order
supernaturally	with forces outside the natural order
supersede	put in place of
supersede	take the place of
superseded	put in place of
superseded	took the place of
supersedes	puts in place of
supersedes	takes the place of
superseding	putting in place of
superseding	taking the place of
superstition	unreasoning belief
superstition	idea based on unnatural powers
superstitions	unreasoning beliefs
superstitions	ideas based on unnatural powers
superstitious	having unreasoning beliefs
superstitious	having ideas based on unnatural powers
superstitiously	with unreasoning beliefs
superstitiously	with ideas based on unnatural powers
supervise	oversee
supervise	be in control of, have direction of work
supervised	oversaw
supervised	was in control of, had direction of work
supervises	oversees
supervises	is in control of, has direction of work
supervising	overseeing
supervising	being in control of, having direction of work
supervision	overseeing
supervisor	overseer
supervisor	person in control of
supervisor	director of work
supervisors	overseers
supervisors	persons in control of
supervisors	directors of work
supervisory	controlling
supervisory	gives direction of work
supper	last meal of the day
suppers	last meals of the day
supplant	take another's place
supplant	put another in place of
supplant	put out
supplanted	took another's place
supplanted	put another in place of
supplanted	put out
supplanting	taking another's place
supplanting	putting another in place of
supplanting	putting out
supplants	takes another's place
supplants	puts another in place of
supplants	puts out
supple	readily bent
supple	making quick adjustments
supple	elastic
supplely	readily bent
supplely	makes quick adjustments
supplely	as elastic
supplement	addition
supplement	make an addition
supplementary	an addition
supplementary	giving what is not there
suppliable	able to supply
supplicant	one making a request
supplicate	make a request
supplied	gave (things needed)
supplied	supplied
supplied	[business, science, second]
supplier	giver (of things needed)
supplier	supplier
supplier	[business, science, second]
suppliers	givers (of things needed)
suppliers	suppliers
supplies	gives
supplies	things needed
supplies	supplies
supplies	[business, science, second]
supply	give (things needed)
supply	amount of store to be had
supply	supply
supply	[business, science, second]
supplying	giving (things needed)
supplying	supplying
supplying	[business, science, second]
support	support
supported	supported
supporter	supporter
supporters	supporters
supporting	supporting
supportingly	supportingly
supports	supports
suppose	take as probably
supposed	took as probably
supposed	in theory
supposedly	probably
supposes	takes as probably
supposing	taking as probably
supposition	suggestion
suppositions	suggestions
suppress	put an end to
suppress	keep secret
suppressed	put an end to
suppressed	kept secret
suppresses	puts an end to
suppresses	keeps secret
suppressing	putting an end to
suppressing	keeping secret
suppression	act of ending
supremacy	highest authority
supreme	highest
supreme	greatest
supremely	highly
supremely	most greatly
sure	certain
sure	safe
surely	certainly
surely	safely
surely	isn't it true
surf	rough white water at sea edge
surf	read internet
surface	top of water, etc.
surface	outside of any body, face of
surface	come to top
surface	make face smooth
surface	[science, second]
surfaced	came to top
surfaced	faced
surfaced	made smooth face
surfaced	[science, second]
surfacer	facer
surfacer	maker of smooth face
surfacer	[science, second]
surfaces	faces
surfaces	comes to top
surfaces	makes smooth face
surfaces	[science, second]
surfacing	coming to top
surfacing	facing
surfacing	making smooth face
surfacing	[science, second]
surfed	read internet
surfeit	overmuch of anything
surfer	play on sea edge
surfer	one who reads internet
surfing	playing on sea edge
surfing	be reading internet
surfs	waters at sea edge
surfs	reads internet
surge	be moving as waves
surge	any sudden increase
surge	increase military forces
surged	was moved as waves
surged	sudden increase
surgeon	expert in medical operations
surgeon	[second]
surgeons	experts in medical operations
surgeons	[second]
surgery	cutting the body for medical purpose
surges	strong waves
surges	sudden increases
surgical	of, by medical operations
surging	be moving as waves
surging	be suddenly increasing
surmise	idea
surmise	suggestion
surmise	something not based on certain
surmised	had an idea
surmised	made suggestion
surmises	has idea
surmises	makes suggestion
surmising	having an idea
surmising	making suggestion
surmount	get over
surmount	overcome
surmounted	got over
surmounted	overcame
surmounted	put on top
surmounting	getting over
surmounting	overcoming
surmounts	gets over
surmounts	overcomes
surname	family name
surnamed	of family name
surnames	family names
surpass	do better
surpass	be better than
surpassed	did better
surpassed	was better than
surpasses	does better
surpasses	is better than
surpassing	doing
surpassing	being better than
surplus	amount over
surplus	the rest
surplus	more than necessary
surpluses	amounts over
surpluses	the rest
surpluses	more than necessary
surprise	surprise
surprised	surprised
surpriser	surpriser
surprisers	surprisers
surprises	surprises
surprising	surprising
surprisingly	surprisingly
surprisings	surprisings
surrender	give up
surrender	give way to
surrendered	gave up
surrendered	gave way to
surrendering	giving up
surrendering	giving way to
surrenders	gives up
surrenders	gives way to
surround	all round
surround	come, be, put all round
surrounded	came, was, put all round
surrounding	coming, being, put all round
surroundings	everything near
surroundings	the place where __ is
surrounds	comes (is put) all round
survey	general view
survey	take general view of
survey	let the eye go over
survey	take measures
surveyed	took general view of
surveyed	let the eye go over
surveyed	took measures
surveying	taking general view of
surveying	letting the eye go over
surveying	taking measures
surveys	general views
surveys	takes general view of
surveys	lets the eye go over
surveys	takes measures
survival	still in existence
survival	coming safe through
survival	still living
survival	selection of the strongest
survivalist	person ready to go on
survive	exist (after test)
survive	safe
survive	live on
survived	existed (after test)
survived	was safe
survived	still lived
survives	exists (after test)
survives	is safe
survives	still lives
surviving	existing (after test)
surviving	being safe
surviving	still living
susceptible	readily moved
susceptible	open to
suspect	have feeling that it is probable
suspect	have doubts (person) is free of wrongdoing
suspect	person likely of wrongdoing
suspected	had feeling that it is probable
suspected	had doubts (person) is free of wrongdoing
suspecting	having feeling that it is probable
suspecting	having doubts (person) is free of wrongdoing
suspects	has feeling that it is probable
suspects	has doubts (person) is free of wrongdoing
suspend	keep back
suspend	put off
suspend	put out of operation
suspended	hanging
suspended	no longer operated
suspended	(discussion) broken off
suspending	hanging
suspending	no longer operating
suspending	coming to an end
suspends	hangs
suspends	puts off
suspends	puts out of operation
suspense	condition of uncertain trouble
suspense	uncertain
suspenseful	full of uncertain trouble
suspension	a hanging
suspension	stop for a time
suspension	under parts of automobile
suspension	supported by a liquid
suspicion	feeling that something is wrong
suspicion	doubts about
suspicion	no belief in
suspicious	having feeling that something is wrong
suspicious	having doubts about
suspicious	have no belief in
suspicious	[second]
suspiciously	as if something is wrong
suspiciously	causing doubt
suspiciously	without belief in
suspiciously	[second]
sustain	keep up
sustain	take weight of
sustain	give support
sustain	undergo
sustained	kept up
sustained	took weight of
sustained	gave support
sustained	undergone
sustaining	keeping up
sustaining	taking weight of
sustaining	giving support
sustaining	undergoing
sustains	keeps up
sustains	takes weight of
sustains	gives support
sustains	undergoes
sustenance	food
swagger	walk with an important air
swaggered	walked with an important air
swaggering	walking with an important air
swaggers	walks with an important air
swallow	put down throat
swallow	take into self
swallow	give ready belief
swallow	sort of quick bird
swallowed	put down throat
swallowed	took into self
swallowed	gave ready belief
swallowing	put down throat
swallowing	taking into self
swallowing	giving ready belief
swallows	put down throat
swallows	takes into self
swallows	gives ready belief
swam	swam
swamp	stretch of wet, sponge-like land
swamp	with much work to do
swamp	over weight
swamped	overcame with water
swamped	gave much work
swamped	over weighted
swamping	over coming with water
swamping	giving much work
swamping	over weighting
swamps	stretches of wet, sponge-like land
swamps	gives much work
swamps	over weights
swank	put on airs
swap	make exchange of
swapped	made exchange of
swapping	making exchange of
swaps	makes exchange of
swarm	mass
swarm	great number (bees)
swarm	(numbers) moving
